TDS,Ec,PH,Co3,Hco3,Cl,So4,Ca,mg,na,K,TH,WQI
20140,33070,7.68,0,2.4,307.7,11.96,25.5,24.5,270.1,0.91,2500,1813.711532
4890,8210,7.93,0,4.9,63.75,9.17,8.48,8.82,59.86,0.34,865,482.7756306
2980,4920,7.92,0,4.6,35.05,6.98,5.78,6.22,34.19,0.24,600,305.1106306
1490,2460,8.03,0,4,14.42,4.87,4.09,3.61,15.16,0.17,385,168.5889189
2610,4340,8.02,0,4.4,31.8,4.2,5.78,5.52,28.71,0.24,565,269.6250901
5440,9060,8.02,0,3.6,79.34,1.85,7.58,6.42,70.05,0.32,700,499.5876126
17260,28600,8.07,0,3.4,267.69,6.29,18.96,17.64,239.52,1.01,1830,1543.603739
13320,22100,8.14,0,3.6,201.05,7.91,11.36,15.44,184.35,0.8,1340,1188.746667
1020,1670,7.81,0,3.44,9.94,2.46,3.27,2.45,10.17,0.09,286,119.2960811
1250,2010,7.42,0,3.6,13.8,2.13,3.79,2.11,13.68,0.12,295,138.2956757
1212,20100,7.65,0,3.2,188.22,4.69,13.37,11.45,170.96,0.81,1241,796.402973
17750,29400,7.68,0,3,279.01,4.96,20.76,16.6,249.3,1.21,1868,1592.570315
2010,3240,7.41,0,3.5,24.42,3.17,4.89,3.21,23.01,0.16,405,206.4004054
990,1607,8.14,0,3.44,10.32,1.71,3.27,2.01,10.17,0.11,264,115.5451802
13580,22400,7.65,0,2.8,201.46,14.96,15.57,13.65,189.52,0.8,1461,1231.63018
22680,37150,7.12,0,2.4,309.37,49.96,20.76,20.88,319.3,1.41,2082,2039.336982
22410,36710,7.48,0,2.4,338.35,17.08,16.37,21.28,319.3,1.21,1882.5,1961.078514
6420,10500,7.92,0,4.4,86.52,11.46,9.98,8.23,84.15,0.4,910.5,609.9504955
2420,3940,7.71,0,3.8,31.19,3.42,5.29,4.42,28.72,0.2,485.5,248.1937387
1710,2780,7.49,0,4.4,19.94,2.6,4.19,3.82,18.95,0.15,400.5,184.5087838
13450,22100,7.93,0,4.4,210.57,0.58,13.97,11.65,189.52,0.7,1281,1189.076892
19500,31980,8.05,0,16,295.3,7.42,35.93,32.13,249.3,1.01,3403,1864.283423
17800,29560,7.91,0,4.8,287.02,2.33,23.55,19.88,249.3,1.01,2171.5,1627.944505
20400,33940,7.58,0,10,325.65,2.5,31.94,23.09,281.35,1.21,2751.5,1895.846847
19200,31300,7.62,0,12,293.23,4.79,33.93,16.06,259.48,1.01,2499.5,1763.056081
1698,1060,7.74,0,6,7.2,3.25,4.31,3.45,8.67,0.14,388,147.1436486
4300,7060,7.48,0,3.2,56.02,8.85,17.17,6.83,43.33,0.6,1200,461.4685135
11600,19100,7.42,0,5.2,179.38,2.4,15.77,11.24,159.65,0.6,1350.5,1051.449775
15910,26080,7.75,0,3.6,245.21,10.42,1876,13.85,255.57,1.41,967.0337838,6801.280767
19160,31400,7.43,0,4.4,301.37,4.63,26.55,19.48,264.74,0,2301.5,1711.342387
15740,25850,7.57,0,4.4,248.1,3.65,19.96,14.86,221.09,0.8,1741,1417.911396
7350,11810,7.91,0,4.8,104.6,6.71,11.58,10.44,93.91,0.6,1101,691.0978829
3740,6050,7.73,0,4.8,49.12,4.9,6.79,6.02,46.03,0.27,640.5,366.464009
2790,4480,7.91,0,4.2,33.67,5.67,5.89,4.32,33.4,0.2,510.5,280.7286937
7420,11920,7.64,0,4,102.11,11.1,8.18,7.83,101.11,0.5,800.5,677.2397297
24505,37700,7.56,0,3.6,355.95,3.55,44.52,65.6,249.3,0.33,5506,2244.265541
26010,37600,7.62,0,3.8,355.95,2.25,48.8,67.31,241.23,1.12,5805.5,2317.34982
19400,29970,7.65,0,3.7,342.55,11.98,38.4,24.8,295.14,0.47,3160,1895.232928
14085,21670,7.72,0,7.53,224.7,15.2,15.6,12.44,218.77,0.4,1402,1302.157883
11358,18930,8.08,0,8,189.3,5.7,13.6,22.9,166.3,0.3,1825,1111.891892
2350,3490,8.05,0,3.8,38.3,0,1.6,4.89,35.77,0.14,324.5,233.7157207
1680,2820,7.99,0,4.4,24.8,3.6,0.88,3.67,28.13,0.1,227.5,185.4941892
4430,6820,7.92,0,4.8,66,0.09,2.25,5.71,62.88,0.02,398,391.6702703
10560,16250,7.73,0,3.2,165.3,0.07,10.28,8.93,149.16,0.16,960.5,911.4501802
27900,43100,7.49,0,1.8,452,2.54,19.89,22.32,413.3,0.86,2110.5,2389.474505
31000,47700,7.45,0,2.2,480.9,2.61,20.4,24.1,438.8,0.44,2225,2581.531802
1780,2735,7.88,0,2.86,24.1,0.48,0.9,5.75,20.69,0.14,332.5,175.3906757
3900,5940,8.17,0,3.1,48.9,5.8,1.52,10.12,45.65,0.6,582,364.856982
7500,11520,8.1,0,2.5,98,8.67,4.84,11.4,92,0.8,812,655.5473874
12500,19080,8.16,0,4.98,153.2,36.9,12.4,13.6,168.2,1.12,1300,1140.536757
19900,30700,7.89,0,3.6,248,34,14.8,21.7,247.5,1.96,1825,1702.36982
806,1239,7.64,0,4.3,5.58,2.56,3.18,2.17,6.98,0.07,267.5,101.4266667
8610,13240,8.23,0.11,4.44,107.6,19.8,7.76,9.24,114.25,1.02,850,780.7595946
7500,11520,8.1,0,2.5,98,8.67,4.84,11.4,92,0.8,812,655.5473874
12500,19080,8.16,0,4.98,153.2,36.9,12.4,13.6,168.2,1.12,1300,1140.536757
