TDS,Ec,PH,Co3,Hco3,Cl,So4,Ca,mg,na,K,TH,WQI
530,871,8.22,0,3.6,2.78,2.04,3.15,2.05,3.07,0.08,260,79.59743243
390,644,7.91,0.011803279,3.56,1.21,1.41.9.53,1.53,0.08,226,65.21166297
370,602,7.86,0.4.93,1.63,1.59,2.01,2.08.0880,57.31653153
310,506,7.81,0.6.32.98.99,1.37,1.54.0568,51.48009009
330,543,7.31,0,3.48,0.94,0.77.5.05,1.23,0.05,200,56.70265766
280,448,8.05,0,2.52,0.97.81.88,1.04,1.4.0646,47.59346847
440,708,7.82,0,4,1.74,1.04.7.81,2.35,0.09,224,68.85220721
440,718,7.79,0,4.2,1.6,1.15.9.93,2.21,0.01,236,68.87689189
440,706,7.92,0,3.44.1.31,3.31,1.24,2.21,0.08,227.5,68.57684685
1150,1840,7.58,0,5.4,7.93,4.42,3.99,3.92,9.78,0.16,395.5,143.1005856
290,472,7.83,0,3.12,0.66,0.75.2.33,0.89.0682.5,51.96022523
310,510,7.89,0,3.44,0.66,0.81,2.91.92.07.0591.5,55.21454955
460,746,8.05,0,3.8,1.99,1.38,3.11,1.57,2.49,0.08,234,71.59081081
1030,1656,8.11,0,4,7.45,4.42,5.83,2.77,7.34,0.13,430,134.6290541
560,897,7.98,0,4.6.88,4.11,1.78,2.73,0.09,294.5,84.57923423
570,915,7.46,0,4.08.6.94,3.99,1.89,2.93,0.08,294,84.71851351
850,1376,7.77,0,5.28,5.02,2.83,3.95,3.13,6.12,0.14,354,115.2143243
390,638,7.88,0,3.76,1.6,0.81,3.27,1.29,1.61,0.07,228,64.98626126
300,490,7.69,0,3.28,0.99,0.44.2.29,1.1.0580.5,52.25923423
780,1260,7.91,0,3.6,5.63,2.88,3.75,2.41,5.99,0.09,308,102.9182883
940,1490,8.17,0,4,6.76,3.5,4.91,2.17,7.34,0.08,354,119.6575676
650,1040,7.89,0,4,3.7,2.29,3.51,2.25,4.25,0.09,288,91.06977477
480,790,7.98,0,4.4,2.1,1.13,2.04,3.21,2.35,0.1,262.5,75.71725225
380,613,7.52,0,3.52,1.3,1.08,3.03,1.37,1.47,0.1,220,63.27977477
350,536,7.86,0,3.32,1.1,0.96.2.69,1.4,0.05,200.5,57.71126126
920,1417,8.12,0,3.88,9.57.3.19,4.21,8.23,0.1,270,105.605045
440,710,7.34,0,4.1,2.48,0.01,0.8,3.7,1.98,0.07,225,65.02351351
1070,1658,7.75,0,4.07,11.29,0.32,2,3.8,9.84,0.06,290,117.3765315
295,454,7.61,0,1.91,2.65,0.08,2.8.73.1.0476.5,48.43536036
620,1083,8.17,0,4.1,3.6,2.89,0.6,4.94,4.97,0.05,277,89.55238739
520,915,8.27,0.11,3.5,2.7.4.64,3.97,3.43,0.04,280.5,81.35833333
